,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked
0,0,0,0,1,0,1,1
1,1,1,1,1,0,0,0
2,0,0,1,0,0,1,1
3,1,1,1,1,0,0,1
4,1,0,0,0,0,1,1
5,0,0,0,0,0,1,0
6,1,1,0,0,0,0,1
7,0,0,0,1,1,1,1
8,0,0,1,0,1,1,1
9,0,0,1,1,0,0,0
10,0,0,1,1,1,1,1
11,1,0,1,0,0,0,1
12,0,0,0,0,0,1,1
13,1,0,0,1,1,1,1
14,0,0,1,0,0,1,1
15,1,0,1,0,0,0,1
16,0,0,0,1,1,1,0
17,0,0,0,0,0,0,1
18,1,0,1,1,0,1,1
19,0,0,1,0,0,1,0
20,1,0,0,0,0,0,1
21,1,0,0,0,0,0,1
22,0,0,1,0,0,1,0
23,0,1,0,0,0,0,1
24,0,0,1,1,1,1,1
25,1,0,1,1,1,1,1
26,0,0,0,0,0,1,0
27,0,1,0,1,1,0,1
28,0,0,1,0,0,1,0
29,0,0,0,0,0,1,1
30,1,0,0,0,0,0,0
31,0,1,1,1,0,0,0
32,0,0,1,0,0,1,0
33,1,0,0,0,0,0,1
34,0,1,0,1,0,0,0
35,1,1,0,1,0,0,1
36,0,0,0,0,0,1,0
37,0,0,0,0,0,1,1
38,0,0,1,1,0,1,1
39,0,0,1,1,0,1,0
40,1,0,1,1,0,1,1
41,0,0,1,1,0,0,1
42,0,0,0,0,0,1,0
43,0,1,1,1,1,0,0
44,0,0,1,0,0,1,0
45,0,0,0,0,0,1,1
46,0,0,0,1,0,1,0
47,0,0,1,0,0,1,0
48,0,0,0,1,0,1,0
49,0,0,1,1,0,1,1
50,0,1,0,1,1,1,1
51,0,0,0,0,0,1,1
52,1,1,1,1,0,0,0
53,0,0,1,1,0,0,1
54,1,1,0,0,1,0,0
55,0,1,0,0,0,0,1
56,0,0,1,0,0,0,1
57,0,0,0,0,0,1,0
58,0,0,1,1,1,0,1
59,0,1,0,1,1,1,1
60,0,0,0,0,0,1,0
61,1,1,1,0,0,0,0
62,1,1,0,1,0,0,1
63,0,0,0,1,1,1,1
64,0,0,0,0,0,0,0
65,0,0,0,1,1,1,0
66,0,0,1,0,0,0,1
67,0,0,0,0,0,1,1
68,0,0,1,1,1,1,1
69,0,0,0,1,0,1,1
70,1,0,0,0,0,0,1
71,0,1,1,1,1,1,1
72,0,1,0,0,0,0,1
73,0,0,0,1,0,1,0
74,1,1,0,0,0,1,1
75,0,0,0,0,0,1,1
76,0,0,0,0,0,1,1
77,0,0,0,0,0,1,1
78,0,0,0,0,1,0,1
79,1,0,1,0,0,1,1
80,0,0,0,0,0,1,1
81,0,0,0,0,0,1,1
82,0,0,1,0,0,1,0
83,0,1,0,0,0,0,1
84,0,0,1,0,0,0,1
85,1,0,1,1,0,1,1
86,0,1,0,1,1,1,1
87,0,0,0,0,0,1,1
88,0,1,1,1,1,0,1
89,0,0,0,0,0,1,1
90,0,0,0,0,0,1,1
91,0,0,0,0,0,1,1
92,1,1,0,1,0,0,1
93,0,0,0,1,1,1,1
94,1,0,0,0,0,1,1
95,0,0,0,0,0,1,1
96,1,1,0,0,0,0,0
97,0,1,0,0,1,0,0
98,1,0,1,0,1,0,1
99,1,0,0,1,0,0,1
100,0,0,1,0,0,1,1
101,0,0,0,0,0,1,1
102,0,1,0,0,1,0,1
103,1,0,0,0,0,1,1
104,1,0,0,1,0,1,1
105,0,0,0,0,0,1,1
106,0,0,1,0,0,1,1
107,0,0,0,0,0,1,1
108,1,0,0,0,0,1,1
109,0,0,1,1,0,1,0
110,1,1,0,0,0,0,1
111,0,0,1,1,0,1,0
112,0,0,0,0,0,1,1
113,0,0,1,1,0,1,1
114,0,0,1,0,0,1,0
115,0,0,0,0,0,1,1
116,1,0,0,0,0,1,0
117,0,0,0,1,0,0,1
118,0,1,0,0,1,0,0
119,0,0,1,1,1,1,1
120,0,1,0,1,0,0,1
121,0,0,0,0,0,1,1
122,1,0,0,1,0,0,0
123,1,0,1,0,0,0,1
124,1,1,0,0,1,0,1
125,0,0,0,1,0,1,0
126,0,0,0,0,0,1,0
127,0,0,0,0,0,1,1
128,0,0,1,1,1,1,0
129,1,0,0,0,0,1,1
130,1,0,0,0,0,1,0
131,0,0,0,0,0,1,1
132,1,0,1,1,0,1,1
133,0,0,1,1,0,0,1
134,0,0,0,0,0,0,1
135,0,0,0,0,0,0,0
136,0,0,1,0,1,0,1
137,1,1,0,1,0,0,1
138,0,0,0,0,0,1,1
139,0,1,0,0,0,0,0
140,0,0,1,0,1,1,0
141,0,0,1,0,0,1,1
142,0,0,1,1,0,1,1
143,0,0,0,0,0,1,0
144,0,0,0,0,0,0,1
145,0,1,0,1,1,0,1
146,0,0,0,0,0,1,1
147,0,1,1,1,1,1,1
148,1,0,0,0,1,0,1
149,1,0,0,0,0,0,1
150,1,0,0,0,0,0,1
151,0,1,1,1,0,0,1
152,1,0,0,0,0,1,1
153,1,0,0,0,1,1,1
154,0,0,0,0,0,1,1
155,1,1,0,0,1,0,0
156,0,0,1,0,0,1,0
157,1,0,0,0,0,1,1
158,0,0,0,0,0,1,1
159,0,1,0,1,1,1,1
160,1,0,0,0,1,1,1
161,1,0,1,0,0,0,1
162,0,0,0,0,0,1,1
163,0,0,0,0,0,1,1
164,0,1,0,1,1,1,1
165,0,0,0,0,1,1,1
166,0,1,1,0,1,0,1
167,1,0,1,1,1,1,1
168,0,0,0,0,0,0,1
169,0,1,0,0,0,1,1
170,1,1,0,0,0,0,1
171,0,0,0,1,1,1,0
172,0,0,1,1,1,1,1
173,0,0,0,0,0,1,1
174,1,0,0,0,0,0,0
175,0,0,0,1,1,1,1
176,0,0,0,1,1,1,1
177,1,0,1,0,0,0,0
178,1,0,0,0,0,0,1
179,1,0,0,0,0,1,1
180,0,1,1,1,1,1,1
181,0,0,0,0,0,0,0
182,0,0,0,1,1,1,1
183,0,1,0,1,1,0,1
184,0,0,1,0,1,1,1
185,0,1,0,0,0,0,1
186,0,0,1,1,0,1,0
187,1,0,0,0,0,0,1
188,1,0,0,1,1,1,0
189,1,0,0,0,0,1,1
190,1,0,1,0,0,0,1
191,0,0,0,0,0,0,1
192,0,0,1,1,0,1,1
193,0,0,0,1,1,0,1
194,1,0,1,0,0,0,0
195,1,1,1,0,0,0,0
196,0,0,0,0,0,1,0
197,1,0,0,0,1,1,1
198,0,0,1,0,0,1,0
199,0,0,1,0,0,0,1
200,0,0,0,0,0,1,1
201,0,1,0,1,1,1,1
202,1,0,0,0,0,1,1
203,1,0,0,0,0,1,0
204,0,0,0,0,0,1,1
205,0,0,1,0,1,1,1
206,1,0,0,1,0,1,1
207,0,0,0,0,0,1,0
208,0,0,1,0,0,1,0
209,1,0,0,0,0,0,0
210,0,0,0,0,0,1,1
211,1,0,1,0,0,0,1
212,0,0,0,0,0,1,1
213,1,0,0,0,0,0,1
214,0,0,0,1,0,1,0
215,1,1,1,1,0,0,0
216,0,0,1,0,0,1,1
217,1,0,0,1,0,0,1
218,1,1,1,0,0,0,0
219,1,0,0,0,0,0,1
220,0,0,0,0,0,1,1
221,0,0,0,0,0,0,1
222,1,0,0,0,0,1,1
223,0,0,0,0,0,1,1
224,1,1,0,1,0,0,1
225,0,0,0,0,0,1,1
226,0,0,0,0,0,0,1
227,0,0,0,0,0,1,1
228,0,0,0,0,0,0,1
229,0,0,1,1,1,1,1
230,1,1,1,1,0,0,1
231,0,0,0,0,0,1,1
232,1,0,0,0,0,0,1
233,0,0,1,1,1,1,1
234,0,0,0,0,0,0,1
235,0,0,1,0,0,1,1
236,1,0,0,1,0,0,1
237,0,0,1,0,1,0,1
238,0,0,0,0,0,0,1
239,1,0,0,0,0,0,1
240,0,0,1,1,0,1,0
241,0,0,1,1,0,1,0
242,0,0,0,0,0,0,1
243,0,0,0,0,0,1,1
244,1,0,0,0,0,1,0
245,1,1,0,1,0,0,0
246,0,0,1,0,0,1,1
247,0,0,1,0,1,0,1
248,1,1,0,1,1,0,1
249,1,0,0,1,0,0,1
250,0,0,0,0,0,1,1
251,0,0,1,1,1,1,1
252,1,0,0,0,0,0,1
253,1,0,0,1,0,1,1
254,1,0,1,0,1,1,1
255,0,0,1,0,1,1,0
256,0,1,1,0,0,0,0
257,1,1,1,0,0,0,1
258,1,1,1,0,0,0,0
259,1,0,1,0,1,0,1
260,0,0,0,0,0,1,0
261,0,0,0,1,1,1,1
262,1,1,0,1,1,0,1
263,1,0,0,0,0,0,1
264,0,0,1,0,0,1,0
265,1,0,0,0,0,0,1
266,0,1,0,1,1,1,1
267,0,0,0,1,0,1,1
268,1,1,1,0,1,0,1
269,1,1,1,0,0,0,1
270,0,0,0,0,0,0,1
271,0,0,0,0,0,1,1
272,1,0,1,0,1,0,1
273,1,0,0,0,1,0,0
274,0,0,1,0,0,1,0
275,1,1,1,1,0,0,1
276,1,0,1,0,0,1,1
277,0,0,0,0,0,0,1
278,0,0,0,1,1,1,0
279,1,0,1,1,1,1,1
280,1,0,0,0,0,1,0
281,0,0,0,0,0,1,1
282,0,0,0,0,0,1,1
283,0,0,0,0,0,1,1
284,0,0,0,0,0,0,1
285,1,0,0,0,0,1,0
286,1,0,0,0,0,1,1
287,0,0,0,0,0,1,1
288,1,0,0,0,0,0,1
289,0,0,1,0,0,1,0
290,0,1,1,0,0,0,1
291,0,1,1,1,0,0,0
292,1,0,0,0,0,0,0
293,0,0,1,0,0,1,1
294,0,0,0,0,0,1,1
295,0,0,0,0,0,0,0
296,0,0,0,0,0,1,0
297,0,1,1,1,1,0,1
298,0,0,0,0,0,0,1
299,1,1,1,0,1,0,0
300,0,0,1,0,0,1,0
301,0,0,0,1,0,1,0
302,0,0,0,0,0,1,1
303,0,0,1,0,0,0,0
304,0,0,0,0,0,1,1
305,0,1,0,1,1,0,1
306,0,1,1,0,0,0,0
307,0,1,1,1,0,0,0
308,1,0,0,1,0,0,0
309,1,1,1,0,0,0,0
310,0,1,1,0,0,0,0
311,0,1,1,1,1,0,0
312,0,0,1,1,1,0,1
313,0,0,0,0,0,1,1
314,1,0,0,1,1,0,1
315,0,0,1,0,0,1,1
316,0,0,1,1,0,0,1
317,1,0,0,0,0,0,1
318,1,1,1,0,1,0,1
319,1,1,1,1,1,0,0
320,0,0,0,0,0,1,1
321,0,0,0,0,0,1,1
322,1,0,1,0,0,0,0
323,0,0,1,1,1,0,1
324,0,1,0,1,1,1,1
325,1,1,1,0,0,0,0
326,1,0,0,0,0,1,1
327,1,0,1,0,0,0,1
328,1,0,1,1,1,1,1
329,0,1,1,0,1,0,0
330,0,0,1,1,0,1,0
331,1,0,0,0,0,0,1
332,1,1,0,0,1,0,1
333,0,0,0,1,0,1,1
334,0,1,1,1,0,0,1
335,0,0,0,0,0,1,1
336,0,1,0,1,0,0,1
337,1,1,1,0,0,0,0
338,1,0,0,0,0,1,1
339,1,1,0,0,0,0,1
340,0,0,0,1,1,0,1
341,0,1,1,1,1,0,1
342,0,0,0,0,0,0,1
343,0,0,0,0,0,0,1
344,1,0,0,0,0,0,1
345,0,0,1,0,0,0,1
346,1,0,1,0,0,0,1
347,0,0,1,1,0,1,1
348,0,0,0,1,1,1,1
349,1,0,0,0,0,1,1
350,0,0,0,0,0,1,1
351,0,1,0,0,0,0,1
352,0,0,0,1,1,1,0
353,0,0,0,1,0,1,1
354,0,0,0,0,0,1,0
355,0,0,0,0,0,1,1
356,0,1,1,0,1,0,1
357,1,0,1,0,0,0,1
358,0,0,1,0,0,1,0
359,0,0,1,0,0,1,0
360,1,0,0,1,1,1,1
361,0,0,0,1,0,0,0
362,1,0,1,0,1,1,0
363,1,0,0,0,0,1,1
364,0,0,0,1,0,1,0
365,1,0,0,0,0,1,1
366,1,1,1,1,0,0,0
367,0,0,1,0,0,1,0
368,0,0,1,0,0,1,0
369,0,1,1,0,0,0,0
370,0,1,0,1,0,0,0
371,0,0,0,1,0,1,1
372,0,0,0,0,0,1,1
373,0,1,0,0,0,0,0
374,0,0,1,1,1,1,1
375,0,1,1,1,0,0,0
376,0,0,1,0,0,1,1
377,0,1,0,0,1,0,0
378,0,0,0,0,0,1,0
379,0,0,0,0,0,1,1
380,1,1,1,0,0,0,0
381,0,0,1,0,1,1,0
382,1,0,0,0,0,1,1
383,1,1,1,1,0,0,1
384,0,0,0,0,0,1,1
385,0,1,0,0,0,0,1
386,0,1,0,1,1,1,1
387,1,0,1,0,0,0,1
388,0,0,0,0,0,1,0
389,0,0,1,0,0,0,0
390,1,1,0,1,1,0,1
391,0,0,0,0,0,1,1
392,0,0,0,1,0,1,1
393,0,1,1,1,0,0,0
394,0,0,1,0,1,1,1
395,0,0,0,0,0,1,1
396,1,0,1,0,0,1,1
397,1,0,0,0,0,0,1
398,0,0,0,0,0,0,1
399,0,0,1,0,0,0,1
400,1,0,0,0,0,1,1
401,0,0,0,0,0,1,1
402,0,0,1,1,0,1,1
403,0,0,0,1,0,1,1
404,0,0,1,0,0,1,1
405,1,0,0,1,0,0,1
406,1,0,0,0,0,1,1
407,0,0,0,1,1,0,1
408,0,0,0,0,0,1,1
409,0,0,1,1,1,1,1
410,0,0,0,0,0,1,1
411,0,0,0,0,0,1,0
412,1,1,1,1,0,0,0
413,0,0,0,0,0,0,1
414,1,0,0,0,0,1,1
415,0,0,1,0,0,1,1
416,1,0,1,1,1,0,1
417,0,0,1,0,1,0,1
418,1,0,0,0,0,0,1
419,0,0,1,0,1,1,1
420,0,0,0,0,0,1,0
421,0,0,0,0,0,1,0
422,0,0,0,0,0,1,1
423,0,0,1,1,1,1,1
424,0,0,0,1,1,1,1
425,0,0,0,0,0,1,1
426,0,0,1,1,0,0,1
427,0,0,1,0,0,0,1
428,0,0,0,0,0,1,0
429,1,0,0,0,0,1,1
430,0,0,0,0,0,0,1
431,0,0,1,1,0,1,1
432,1,0,1,1,0,0,1
433,0,0,0,0,0,1,1
434,1,1,0,1,0,0,1
435,0,1,1,1,1,0,1
436,0,1,1,1,1,1,1
437,0,0,1,1,1,0,1
438,1,1,0,1,1,0,1
439,1,0,0,0,0,0,1
440,1,0,1,1,1,0,1
441,0,0,0,0,0,1,1
442,0,0,0,1,0,1,1
443,0,0,1,0,0,0,1
444,0,0,0,0,0,1,1
445,0,1,0,0,1,0,1
446,0,0,1,0,1,0,1
447,1,0,0,0,0,0,1
448,0,0,1,1,1,1,0
449,1,0,0,0,0,0,1
450,1,0,0,1,1,0,1
451,0,0,0,1,0,1,1
452,1,0,0,0,0,0,0
453,1,1,0,1,0,0,0
454,0,0,0,0,0,1,1
455,0,0,0,0,0,1,0
456,1,0,0,0,0,0,1
457,0,1,1,1,0,0,1
458,1,0,1,0,0,0,1
459,0,0,0,0,0,1,0
460,1,0,0,0,0,0,1
461,1,0,0,0,0,1,1
462,1,1,0,0,0,0,1
463,1,0,0,0,0,0,1
464,0,0,0,0,0,1,1
465,1,0,0,0,0,1,1
466,0,0,0,0,0,0,1
467,1,0,0,0,0,0,1
468,0,0,0,0,0,1,0
469,0,0,1,1,1,1,0
470,0,0,0,0,0,1,1
471,1,0,0,0,0,1,1
472,1,0,1,1,1,0,1
473,0,0,1,0,0,0,0
474,0,0,1,0,0,1,1
475,0,1,0,0,0,0,1
476,1,0,0,1,0,0,1
477,0,0,0,1,0,1,1
478,0,0,0,0,0,1,1
479,0,0,1,0,1,1,1
480,0,1,0,1,1,1,1
481,0,0,0,0,0,0,1
482,1,0,0,0,0,1,1
483,1,0,1,0,0,1,1
484,0,1,0,1,0,0,0
485,0,0,1,1,1,1,1
486,1,1,1,1,0,0,1
487,1,0,0,0,0,0,0
488,1,0,0,0,0,1,1
489,0,0,0,1,1,1,1
490,0,0,0,1,0,1,1
491,0,0,0,0,0,1,1
492,1,0,0,0,0,0,1
493,1,1,0,0,0,0,0
494,0,0,0,0,0,1,1
495,0,0,0,0,0,1,0
496,1,1,1,1,0,0,0
497,0,0,0,0,0,1,1
498,0,1,1,1,1,0,1
499,0,0,0,0,0,1,1
500,0,0,0,0,0,1,1
501,0,0,1,0,0,1,0
502,0,0,1,0,0,1,0
503,1,0,1,0,0,1,1
504,0,1,1,0,0,0,1
505,0,1,0,1,0,0,0
506,1,0,1,0,1,0,1
507,0,0,0,0,0,0,1
508,0,0,0,0,0,1,1
509,0,1,0,0,0,1,1
510,0,0,0,0,0,1,0
511,0,0,0,0,0,1,1
512,1,0,0,0,0,0,1
513,1,1,1,1,0,0,0
514,0,0,0,0,0,1,1
515,1,1,0,0,0,0,1
516,1,0,1,0,0,0,1
517,0,0,0,0,0,1,0
518,1,0,1,1,0,0,1
519,1,0,0,0,0,1,1
520,1,1,1,0,0,0,1
521,0,0,0,0,0,1,1
522,0,0,0,0,0,1,0
523,1,1,1,0,1,0,0
524,0,0,0,0,0,1,0
525,1,0,0,0,0,1,0
526,1,0,1,0,0,0,1
527,0,1,0,0,0,0,1
528,1,0,0,0,0,1,1
529,0,0,0,1,1,0,1
530,0,0,1,1,1,0,1
531,0,0,0,0,0,1,0
532,0,0,0,1,1,1,0
533,0,0,1,0,1,1,0
534,1,0,1,0,0,1,1
535,0,0,1,0,1,0,1
536,1,0,0,0,0,0,1
537,1,1,1,0,0,0,0
538,0,0,0,0,0,1,1
539,0,1,1,0,1,0,0
540,1,1,1,0,1,0,1
541,0,0,1,1,1,1,1
542,0,0,1,1,1,1,1
543,1,0,0,1,0,0,1
544,1,1,0,1,0,0,0
545,1,0,0,0,0,0,1
546,0,0,1,1,0,0,1
547,0,0,0,0,0,0,0
548,1,0,0,1,1,1,1
549,0,1,0,1,1,0,1
550,0,1,0,0,1,0,0
551,0,0,0,0,0,0,1
552,0,0,0,0,0,1,0
553,0,0,0,0,0,1,0
554,0,0,1,0,0,1,1
555,1,0,0,0,0,0,1
556,1,1,1,1,0,0,0
557,0,1,0,0,0,0,0
558,1,1,1,1,1,0,1
559,1,0,1,1,0,1,1
560,0,0,0,0,0,1,0
561,1,0,0,0,0,1,1
562,0,0,0,0,0,0,1
563,0,0,0,0,0,1,1
564,0,0,1,0,0,1,1
565,0,0,0,1,0,1,1
566,0,0,0,0,0,1,1
567,0,0,1,0,1,1,1
568,0,0,0,0,0,1,0
569,1,0,0,0,0,1,1
570,1,0,0,0,0,0,1
571,1,1,1,1,0,0,1
572,1,0,0,0,0,0,1
573,0,0,1,0,0,1,0
574,0,0,0,0,0,1,1
575,0,0,0,0,0,1,1
576,1,0,1,0,0,0,1
577,1,1,1,1,0,0,1
578,0,0,1,1,0,1,0
579,1,0,0,0,0,1,1
580,0,0,1,1,1,0,1
581,1,1,1,1,1,0,0
582,1,0,0,0,0,0,1
583,1,1,0,0,0,0,0
584,0,0,0,0,0,1,0
585,0,1,1,0,1,0,1
586,1,0,0,0,0,0,1
587,1,1,0,1,1,0,0
588,0,0,0,0,0,1,1
589,0,0,0,0,0,1,1
590,1,0,0,0,0,1,1
591,1,1,1,1,0,0,0
592,1,0,0,0,0,1,1
593,0,0,1,0,1,1,0
594,1,0,0,1,0,0,1
595,1,0,0,1,1,1,1
596,0,0,1,0,0,0,1
597,1,0,0,0,0,1,1
598,0,0,0,0,0,1,0
599,1,1,0,1,0,0,0
600,0,0,1,1,1,0,1
601,0,0,0,0,0,1,1
602,0,1,0,0,0,0,1
603,1,0,0,0,0,1,1
604,1,0,0,0,0,0,0
605,1,0,0,1,0,1,1
606,1,0,0,0,0,1,1
607,0,0,0,0,0,0,1
608,0,1,1,1,1,0,0
609,1,1,1,0,0,0,1
610,1,0,1,1,1,1,1
611,0,0,0,0,0,1,1
612,0,0,1,1,0,1,0
613,0,0,0,0,0,1,0
614,1,0,0,0,0,1,1
615,0,1,1,1,1,0,1
616,1,0,0,1,1,1,1
617,0,0,1,1,0,1,1
618,0,1,1,1,1,0,1
619,0,0,0,0,0,0,1
620,0,0,0,1,0,1,0
621,1,1,0,1,0,0,1
622,0,0,0,1,1,1,0
623,0,0,0,0,0,1,1
624,0,0,0,0,0,1,1
625,1,0,0,0,0,0,1
626,1,0,0,0,0,0,0
627,0,1,1,0,0,0,1
628,0,0,0,0,0,1,1
629,0,0,0,0,0,1,0
630,1,0,0,0,0,0,1
631,1,0,0,0,0,1,1
632,1,0,0,0,0,0,0
633,0,0,0,0,0,0,1
634,0,0,1,1,1,1,1
635,0,0,1,0,0,0,1
636,1,0,0,0,0,1,1
637,1,0,0,1,1,0,1
638,1,1,1,0,1,1,1
639,0,0,0,1,0,1,1
640,0,0,0,0,0,1,1
641,0,1,1,0,0,0,0
642,0,0,1,1,1,1,1
643,0,1,0,0,0,1,1
644,0,0,1,1,1,1,0
645,1,1,0,1,0,0,0
646,0,0,0,0,0,1,1
647,1,1,0,0,0,0,0
648,0,0,0,0,0,1,1
649,0,0,1,0,0,1,1
650,0,0,0,0,0,1,1
651,0,0,1,0,1,0,1
652,0,0,0,0,0,1,1
653,0,0,1,0,0,1,0
654,0,0,1,0,0,1,0
655,0,1,0,1,0,0,1
656,0,0,0,0,0,1,1
657,1,0,1,1,1,1,0
658,0,0,0,0,0,0,1
659,1,1,0,0,1,0,0
660,1,1,0,1,0,0,1
661,1,0,0,0,0,1,0
662,1,0,0,0,0,0,1
663,1,0,0,0,0,1,1
664,0,0,0,1,0,1,1
